"index_road","node_id"
"[5168765L, 23383674L, 31988616L]",35835755
"[5168773L, 30596743L]",35835806
"[5168773L, 11314415L]",35835805
"[5168780L, 5212464L]",36551832
"[5168780L, 120495324L]",1351023645
"[5168718L, 5168864L]",34710869
"[5090642L, 5168864L]",34710877
"[5168918L, 120496989L]",35836658
"[5168918L, 5212459L]",36551833
"[5168928L, 11314390L]",35847192
"[5168928L, 5168931L]",35856375
"[5168928L, 5168931L]",35856375
"[5168931L, 30596777L]",338237404
"[5168950L, 30042718L]",35856925
"[5168950L, 29171346L]",35857536
"[5168954L, 29171223L]",35857555
"[5168954L, 29292513L]",35858275
"[5168962L, 29292512L]",35858299
"[5168962L, 106996965L]",1230312246
"[5168969L, 139822690L]",35859205
"[5168969L, 47577824L]",605352463
"[5168984L, 107011083L]",35859809
"[5168984L, 42719499L]",35860246
"[5168985L, 42719498L]",35860265
"[5168985L, 30547272L]",35860876
"[5168986L, 27054411L]",35860899
"[5168986L, 5169047L]",35861499
"[5168995L, 121651222L]",35862223
"[5168995L, 26404002L, 26404004L]",35862246
"[5169015L, 28440852L, 128690897L]",239433097
"[5169015L, 120426546L]",1350327456
"[5168986L, 5169047L]",35861499
"[5169047L, 29179367L]",35866203
"[5169058L, 42489330L]",530646479
"[5169058L, 5169068L]",35867599
"[5169058L, 5169068L]",35867599
"[5169068L, 121399206L]",35868026
"[5169081L, 26812150L]",294119384
"[5169081L, 26812127L]",294117909
"[5169097L, 29235110L]",35868915
"[5169097L, 47502188L]",604810339
"[5169113L, 127464511L]",35869985
"[5169113L, 30212567L]",35870322
"[5169116L, 27031266L]",35870348
"[5169116L, 27031250L]",35870754
"[5169121L, 23378590L, 26403784L]",35870782
"[5169121L, 29314837L]",35871120
"[5169159L, 9701851L, 29261934L]",34928517
"[5169159L, 30879951L]",343336122
"[5169160L, 30879880L]",343335099
"[5169160L, 5202951L, 16266736L]",34928529
"[5169162L, 5202951L, 23190175L]",34928570
"[5169162L, 5169170L]",34928763
"[5169162L, 5169170L]",34928763
"[5169171L, 33656151L]",268390275
"[5169171L, 33545268L]",382913488
"[5202870L, 9747577L]",36380657
"[5202870L, 33869093L, 51269167L]",36380675
"[5202945L, 22788324L]",35722671
"[5202945L, 122923050L]",36704808
"[5202946L, 5202948L, 11315467L, 11315478L, 31098768L]",35722439
"[5202946L, 8861258L, 22788324L]",35722670
"[5202946L, 5202948L, 11315467L, 11315478L, 31098768L]",35722439
"[5202948L, 9701935L, 103255971L]",35722664
"[5202948L, 5202949L, 11313842L]",35722660
"[5202949L, 11313750L, 22800093L]",35551152
"[5202950L, 31098955L]",35722732
"[5202950L, 42712358L, 127156340L]",534116213
"[5169171L, 5202951L]",34928733
"[5169160L, 5202951L, 16266736L]",34928529
"[5202952L, 120495440L]",36544039
"[5202952L, 11314246L, 11315886L]",100638705
"[5202979L]",36395101
"[5202979L]",560061205
"[5203144L, 5203145L]",35847189
"[5203144L, 11314390L]",35847191
"[5203145L, 120495440L]",35835809
"[5203144L, 5203145L]",35847189
"[5135894L, 5168765L, 5212286L]",35835749
"[4928042L, 5212286L, 5217861L, 9590427L]",32877275
"[5212290L, 5212774L]",35835418
"[5212290L, 5218046L]",36542781
"[5212294L, 5217952L]",35835378
"[5212294L, 29262080L]",35835352
"[5212298L, 5212299L]",30993649
"[5212298L, 120497149L]",35835840
"[5212299L, 11314415L]",30993650
"[5212298L, 5212299L]",30993649
"[5212305L]",36544172
"[5212305L]",36544175
"[5212305L, 5212307L]",36544174
"[5212307L]",36544192
"[5212305L, 5212308L]",36544173
"[5212308L]",36544204
"[5212458L, 5212459L]",36551834
"[5212458L, 22771807L]",35855292
"[5168918L, 5212459L]",36551833
"[5212458L, 5212459L]",36551834
