"id","ways_index"
25375842,"[25375841L, 25375843L]"
25375843,"[25375842L, 25375854L, 25375847L]"
25375847,"[25375848L, 25375843L, 25375854L]"
25375848,"[25375852L, 25375847L]"
25375852,"[25375848L, 25375854L]"
25375854,"[25375856L, 25375843L, 25375852L, 25375847L]"
25375856,"[25375874L, 25375854L]"
25375858,"[25375859L, 25375874L]"
25375859,"[25375874L, 25375858L]"
25375862,"[25375874L]"
25375865,"[115620355L, 26514790L, 22800009L, 25189591L, 26514767L, 26514770L, 127635188L, 26514777L, 25375866L]"
25375866,"[25375865L, 25189591L]"
25375870,"[25375874L]"
25375871,"[25375872L, 25375874L]"
25375872,"[25375871L]"
25375874,"[25375856L, 25375858L, 25375859L, 25375862L, 139355449L, 25375870L, 25375871L]"
25409131,"[25999328L, 25409132L, 25004143L]"
25409132,"[58093669L, 25004584L, 25409131L, 25409133L, 25409136L]"
25409133,"[25409132L]"
25409134,"[]"
25409136,"[25409132L]"
25409137,"[25004584L]"
25409138,"[25004584L, 25409140L, 25999340L, 25004585L]"
25409139,"[25409140L, 25409142L]"
25409140,"[25409138L, 25409139L]"
25409141,"[]"
25409142,"[25409144L, 25409139L, 25409143L]"
25409143,"[25409142L]"
25409144,"[25409142L]"
25409146,"[34495897L]"
25409147,"[25004585L, 34495897L]"
25409148,"[34495897L, 25004588L]"
25409149,"[71497448L, 47738609L, 76165267L, 25972884L, 76160350L, 76160351L]"
25409151,"[25409153L, 25972884L, 25419724L, 58093678L]"
25409153,"[25409151L]"
25419724,"[29178849L, 26131291L, 29178847L, 26119404L, 25004597L, 26063982L, 25972884L, 34625006L, 26131286L, 44774841L, 71498399L, 25409151L]"
25429565,"[26139095L]"
25429571,"[25429575L, 25429573L, 26139095L]"
25429573,"[25429571L, 25429575L]"
25429575,"[25429571L, 25429573L]"
25429576,"[25429580L, 34495900L, 52279521L]"
25429578,"[25429579L, 25429580L, 34495901L]"
25429579,"[25429585L, 25429578L, 34495901L]"
25429580,"[25429576L, 52279521L, 25429578L]"
25429585,"[34624998L, 29179688L, 29179689L, 25429579L, 34495901L]"
25446414,"[121980930L, 136512005L, 26812135L, 136512022L, 136512019L, 121778742L, 136512026L]"
25446415,"[42398673L, 27945353L, 42398570L, 42398507L, 121778769L, 42454291L, 42398612L, 42398506L]"
25446417,"[29422181L, 26812137L, 121781867L, 121781868L, 42454222L, 42454291L, 29235161L]"
25446418,"[42398844L, 25446420L, 42398845L, 25446425L]"
25446420,"[42943369L, 25446418L, 42454291L]"
25446421,"[42943372L, 25446422L, 25446423L]"
25446422,"[114108334L, 42454284L, 42454222L, 25446421L, 42398486L]"
25446423,"[42398858L, 42943377L, 25446421L, 25446425L, 42398843L, 42398844L]"
25446425,"[42398979L, 29276968L, 42943402L, 42398859L, 121651116L, 26404014L, 26404015L, 42943408L, 42398961L, 25446418L, 114108343L, 29276981L, 25446423L, 114109018L, 42398920L]"
25446426,"[42943488L, 29421962L, 42943504L, 114108340L, 29276981L, 25446427L, 42943514L, 25446430L]"
25446427,"[25446426L, 26365180L, 25446430L]"
25446429,"[53624672L, 50635372L, 53624682L, 53624684L, 50635373L, 53624687L, 50635218L, 50635187L, 26365179L]"
25446430,"[29276968L, 29421962L, 53624689L, 114108340L, 42490745L, 25446426L, 25446427L, 119983706L]"
25446432,"[25446433L, 50635555L, 50635437L, 42490607L, 47738609L, 50635221L, 42490710L]"
25446433,"[25446432L, 42490684L, 25775117L, 42490607L]"
25446434,"[25446435L, 42372514L, 25775118L, 42490416L, 25719825L]"
25446435,"[25446434L, 25446436L, 25446438L, 25004138L, 42490411L, 50818210L, 25719825L, 44774834L]"
25446436,"[42372514L, 25446435L, 25719825L, 25719826L, 40745172L, 119983705L]"
25446438,"[50818210L, 25446435L, 119983717L, 42372393L, 58646762L, 121649196L, 42372306L, 29422013L, 25719826L, 58646771L, 119983735L, 42372317L]"
25468621,"[5090642L, 115692171L, 113662917L]"
25468681,"[5135876L, 11313750L, 5135878L, 122923050L, 11315478L, 24007611L, 42502046L]"
25583823,"[105154008L, 105154042L, 105154013L]"
25583827,"[105154051L, 121364867L, 28927333L, 105154006L]"
